_weight,_likelihood,$\Omega_m\ \mathrm{Blinded}$,$w\ \mathrm{Blinded}$
3.00000,12.46243,0.34177,-0.99943
1.00000,11.79192,0.39808,-1.05612
6.00000,12.37135,0.33894,-0.86959
7.00000,12.43698,0.33924,-0.86693
4.00000,12.83121,0.44854,-1.19981
1.00000,12.64898,0.44725,-1.20841
1.00000,11.98884,0.43063,-1.18732
1.00000,11.89777,0.37409,-0.97428
1.00000,12.31348,0.41348,-1.07003
2.00000,11.92880,0.43050,-1.20547
2.00000,12.22405,0.44284,-1.23592
2.00000,12.63140,0.41154,-1.25481
4.00000,12.60098,0.39761,-1.20169
2.00000,12.09559,0.39594,-1.16398
1.00000,12.64368,0.45971,-1.35921
3.00000,11.94107,0.41467,-1.21038
1.00000,12.61210,0.45150,-1.24227
7.00000,12.46619,0.45457,-1.31756
2.00000,12.07689,0.43027,-1.16959
3.00000,12.22932,0.43673,-1.18880
2.00000,12.50819,0.37366,-0.93778
1.00000,11.70582,0.41316,-1.15896
3.00000,11.67047,0.40184,-1.13412
2.00000,11.80366,0.37598,-0.98748
2.00000,12.03836,0.41586,-1.22461
2.00000,12.04546,0.31727,-0.88049
4.00000,11.93908,0.41564,-1.21281
3.00000,12.00458,0.42892,-1.25130
1.00000,12.25865,0.44516,-1.30540
2.00000,12.31264,0.44909,-1.29676
1.00000,12.20152,0.35337,-0.90667
6.00000,12.24929,0.35826,-0.91443
3.00000,11.78418,0.38216,-1.00623
9.00000,11.61378,0.37295,-1.01107
2.00000,12.68167,0.45762,-1.28532
6.00000,13.28111,0.45654,-1.45071
2.00000,13.82534,0.45893,-1.49901
3.00000,15.79906,0.50758,-1.73507
4.00000,13.90671,0.42807,-1.38528
1.00000,14.13626,0.48586,-1.57002
2.00000,15.86983,0.45466,-1.59050
6.00000,14.10414,0.47082,-1.55328
1.00000,14.21775,0.46904,-1.55722
3.00000,14.05257,0.45937,-1.51565
6.00000,14.49473,0.46700,-1.56985
2.00000,14.10842,0.48532,-1.36941
4.00000,14.27935,0.49031,-1.57948
3.00000,14.66583,0.39637,-1.28021
1.00000,14.29771,0.33305,-1.03482
5.00000,14.13149,0.46640,-1.21908
3.00000,13.69277,0.48467,-1.47134
2.00000,12.50123,0.43781,-1.16642
7.00000,11.95899,0.33404,-0.93816
1.00000,12.37621,0.32455,-0.84490
6.00000,12.23112,0.33387,-0.86844
1.00000,12.09322,0.40407,-1.19167
1.00000,11.89053,0.33883,-0.90547
7.00000,13.32870,0.42506,-1.06126
1.00000,12.96912,0.39242,-0.96862
1.00000,14.60096,0.37535,-1.19324
2.00000,15.03200,0.29297,-0.93322
1.00000,16.24236,0.27974,-0.92105
2.00000,21.08057,0.16639,-0.51461
2.00000,11.76804,0.40169,-1.15095
1.00000,11.81644,0.39238,-1.03403
5.00000,12.32484,0.37390,-0.94713
2.00000,12.21820,0.37509,-0.95579
2.00000,12.40907,0.45124,-1.27825
1.00000,13.45081,0.47996,-1.44031
1.00000,12.67003,0.45517,-1.38083
4.00000,13.13271,0.46456,-1.44880
